Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Matěj Kovář-Leverkusen;Edmond Tapsoba-Leverkusen;Jonathan Tah-Leverkusen;Piero Hincapié-Leverkusen;Jeremie Frimpong-Leverkusen;Aleix García Serrano-Leverkusen;Granit Xhaka-Leverkusen;Alejandro Grimaldo-Leverkusen;Florian Wirtz-Leverkusen;Emiliano Buendía-Leverkusen;Patrik Schick-Leverkusen;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Arthur Augusto-Leverkusen;Nathan Tella-Leverkusen;Robert Andrich-Leverkusen;Lukáš Hrádecký-Leverkusen;Exequiel Palacios-Leverkusen;Victor Boniface-Leverkusen;Amine Adli-Leverkusen;Nordi Mukiele-Leverkusen;Mario Hermoso Canseco-Leverkusen;Martin Terrier-Leverkusen;Jonas Hofmann-Leverkusen;Jeanuël Belocian-Leverkusen;Odilon Kossounou-Leverkusen;Josip Stanišić-Leverkusen;Adam Hložek-Leverkusen;Borja Iglesias-Leverkusen;Nadiem Amiri-Leverkusen;Niklas Lomb-Leverkusen;Gustavo Puerta-Leverkusen;Mitchel Bakker-Leverkusen;Sardar Azmoun-Leverkusen;Moussa Diaby-Leverkusen;Kerem Demirbay-Leverkusen
2025-03-08;Leverkusen;9;17;2;6;171;Werder Bremen;4;4;18;11;4;7;0.73;0.27;692;0.9;12;10;4;4;0;0;10;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;3;0.0245454545454545;0.3333333333333333;623;0.0192616372391653;853.4246575342466;0.5555555555555556;13.6986301369863;7;0.4599999999999999;7;0;2;0.0260115606936416;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-05;Leverkusen;0;1;3;6;23;Bayern;3;2;3;17;1;6;0.35;0.65;309;0.75;9;13;2;2;1;0;1;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;5;0.038235294117647;0.3333333333333333;232;0.0387931034482758;662.8571428571429;0.3333333333333333;2.857142857142857;-14;-0.3;-4;1;-4;0.0097087378640776;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Leverkusen;9;17;30;6;87;Frankfurt;1;1;20;7;9;3;0.6;0.4;607;0.85;7;9;1;1;0;0;6;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2;0.0571428571428571;0.1428571428571428;516;0.0135658914728682;860.0;0.3;10.0;13;0.1999999999999999;4;0;-2;0.0329489291598023;0.2;0.15;1.5;3;1;4;1;0;0;1;0;0.2;0.4444444444444444;0.0065897858319604;5.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Leverkusen;9;17;2;6;177;KSV Holstein;1;4;18;4;8;3;0.62;0.38;517;0.81;10;11;1;4;0;0;11;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;5;0.095;0.1;419;0.0238663484486873;675.8064516129032;0.6111111111111112;17.741935483870968;14;0.24;6;-3;-1;0.034816247582205;0.1111111111111111;0.31;5.5;2;0;2;1;0;0;1;0;0.1111111111111111;0.25;0.0038684719535783;9.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Leverkusen;9;1;3;6;23;Bayern;2;3;15;2;3;0;0.56;0.44;536;0.82;16;13;2;3;0;0;6;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0;0.22;0.125;440;0.0363636363636363;785.7142857142857;0.4;10.714285714285714;13;0.12;6;-1;3;0.0279850746268656;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Leverkusen;9;2;14;6;175;Wolfsburg;3;2;15;13;1;8;0.6;0.4;517;0.85;8;7;3;2;0;0;9;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;3;0.0307692307692307;0.375;439;0.0182232346241457;731.6666666666667;0.6;15.0;2;0.1999999999999999;6;1;1;0.0290135396518375;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-05;Leverkusen;23;17;29;6;190;Colonia;3;3;23;5;7;4;0.79;0.21;1050;0.9;9;17;3;3;0;0;9;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0419999999999999;0.3333333333333333;945;0.0095238095238095;1196.2025316455697;0.391304347826087;11.39240506329114;18;0.5800000000000001;8;0;-8;0.0219047619047619;0.1304347826086956;0.2633333333333333;3.0;0;3;3;1;0;0;0;1;0.1304347826086956;0.4285714285714285;0.0028571428571428;7.666666666666667;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Leverkusen;9;17;17;6;97;Hoffenheim;3;3;9;16;5;7;0.48;0.52;508;0.86;14;7;2;3;1;0;3;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;3;0.0325;0.2142857142857142;437;0.0320366132723112;910.4166666666669;0.3333333333333333;6.25;-7;-0.04;0;0;7;0.0177165354330708;0.3333333333333333;0.16;1.0;2;1;3;1;0;0;0;1;0.3333333333333333;0.6;0.0059055118110236;3.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;Leverkusen;0;17;2;6;21;Sparta Praha;2;2;26;12;10;1;0.71;0.29;760;0.93;5;6;2;2;0;0;10;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;2;0.0241666666666666;0.4;707;0.007072135785007;995.774647887324;0.3846153846153846;14.084507042253522;14;0.42;8;0;-1;0.0342105263157894;0.0769230769230769;0.355;5.0;1;1;2;1;0;0;0;1;0.0769230769230769;0.2;0.0026315789473684;13.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Leverkusen;9;3;1;6;31;RB Leipzig;2;2;13;7;7;3;0.34;0.66;320;0.77;6;12;2;2;0;0;3;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;7;0.0942857142857142;0.3333333333333333;246;0.024390243902439;723.5294117647059;0.2307692307692307;8.823529411764705;6;-0.32;-4;0;-6;0.040625;0.1538461538461538;0.17;1.5;2;0;2;0;1;0;1;0;0.1538461538461538;0.2857142857142857;0.00625;6.5;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-21;Leverkusen;0;3;9;6;27;Atlético Madrid;3;3;13;5;4;2;0.7;0.3;710;0.92;14;7;2;2;1;1;4;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;3;0.06;0.2142857142857142;653;0.0214395099540581;932.8571428571428;0.3076923076923077;5.714285714285714;8;0.3999999999999999;1;0;7;0.0183098591549295;0.0769230769230769;0.7;4.0;1;0;1;0;0;1;1;0;0.0769230769230769;0.25;0.0014084507042253;13.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Leverkusen;9;3;5;6;172;Mönchengladbach;0;2;10;7;5;4;0.55;0.45;610;0.87;12;10;0;2;0;0;7;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;6;0.0642857142857143;0.0;531;0.0225988700564971;965.4545454545454;0.7;12.727272727272728;3;0.1;1;-2;2;0.0163934426229508;0.3;0.1833333333333333;2.333333333333333;1;2;3;1;0;0;0;1;0.3;0.6;0.0049180327868852;3.333333333333333;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-14;Leverkusen;9;17;17;6;174;Mainz 05;2;3;20;7;9;4;0.67;0.33;739;0.89;4;14;2;3;0;0;8;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0471428571428571;0.5;658;0.0060790273556231;982.089552238806;0.4;11.940298507462686;13;0.34;4;-1;-10;0.027063599458728;0.05;0.67;8.0;0;1;1;1;0;0;0;1;0.05;0.1111111111111111;0.0013531799729364;20.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-10;Leverkusen;9;1;14;6;11;Dortmund;2;1;7;12;5;5;0.3;0.7;296;0.76;6;8;2;1;0;0;1;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;6;0.0583333333333333;0.3333333333333333;225;0.0266666666666666;750.0;0.1428571428571428;3.333333333333333;-5;-0.3999999999999999;-5;1;-2;0.0236486486486486;0.4285714285714285;0.0999999999999999;0.3333333333333333;3;0;3;1;0;0;1;0;0.4285714285714285;0.6;0.0101351351351351;2.333333333333333;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Leverkusen;9;17;3;6;170;Friburgo;1;2;20;8;12;2;0.67;0.33;680;0.88;8;9;1;2;0;0;4;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;2;0.04125;0.125;598;0.0133779264214046;892.5373134328357;0.2;5.970149253731343;12;0.34;2;-1;-1;0.0294117647058823;0.25;0.134;0.8;1;4;5;1;0;0;0;1;0.25;0.4166666666666667;0.0073529411764705;4.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Leverkusen;9;17;30;6;173;Augsburgo;0;3;14;8;3;4;0.66;0.34;708;0.89;5;12;0;3;0;0;9;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;4;0.0425;0.0;630;0.0079365079365079;954.5454545454544;0.6428571428571429;13.636363636363637;6;0.32;5;-3;-7;0.019774011299435;0.1428571428571428;0.33;4.5;2;0;2;1;0;0;1;0;0.1428571428571428;0.6666666666666666;0.0028248587570621;7.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-10;Leverkusen;0;3;2;6;7;Inter;0;3;17;6;5;0;0.61;0.39;728;0.91;10;7;0;3;0;0;3;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1;0.065;0.0;662;0.0151057401812688;1085.2459016393443;0.1764705882352941;4.918032786885246;11;0.2199999999999999;2;-3;3;0.0233516483516483;0.0588235294117647;0.61;3.0;0;1;1;1;0;0;0;1;0.0588235294117647;0.2;0.0013736263736263;17.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;Leverkusen;9;2;6;6;176;St. Pauli;1;3;6;12;2;4;0.63;0.37;663;0.88;8;10;1;3;0;0;7;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;4;0.0308333333333333;0.125;583;0.0137221269296741;925.3968253968254;1.1666666666666667;11.11111111111111;-6;0.26;3;-2;-2;0.0090497737556561;0.3333333333333333;0.315;3.5;2;0;2;1;0;0;0;1;0.3333333333333333;1.0;0.0030165912518853;3.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
