Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Nikola Vasilj-St. Pauli;David Nemeth-St. Pauli;Hauke Wahl-St. Pauli;Siebe Van der Heyden-St. Pauli;Manolis Saliakas-St. Pauli;Carlo Boukhalfa-St. Pauli;Eric Smith-St. Pauli;Philipp Treu-St. Pauli;Morgan Guilavogui-St. Pauli;Danel Sinani-St. Pauli;Noah Weißhaupt-St. Pauli;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Connor Metcalfe-St. Pauli;Adam Dźwigała-St. Pauli;Jackson Irvine-St. Pauli;Oladapo Afolayan-St. Pauli;Elias Saad-St. Pauli;Lars Ritzka-St. Pauli;Johannes Eggestein-St. Pauli;James Sands-St. Pauli;Karol Mets-St. Pauli;Robert Wagner-St. Pauli;Fin Stevens-St. Pauli;Aljoscha Kemlein-St. Pauli;Marcel Hartel-St. Pauli;Sascha Burchert-St. Pauli;Etienne Amenyido-St. Pauli;Simon Zoller-St. Pauli;Andreas Albers-St. Pauli;Jakov Medić-St. Pauli;Leart Paqarada-St. Pauli;Lukas Daschner-St. Pauli;Aremu Afeez-St. Pauli;Betim Fazliji-St. Pauli;Jannes Wieckhoff-St. Pauli;David Otto-St. Pauli;Marcel Beifus-St. Pauli;Igor Matanović-St. Pauli;Dennis Smarsch-St. Pauli
2025-02-15;St. Pauli;9;6;3;176;170;Friburgo;1;0;5;5;1;3;0.54;0.46;519;0.82;10;10;1;0;0;0;2;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;6;0.092;0.1;426;0.0234741784037558;788.8888888888888;0.4;3.7037037037037033;0;0.08;-4;1;0;0.0096339113680154;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-09;St. Pauli;9;6;17;176;31;RB Leipzig;2;3;7;11;4;6;0.44;0.56;440;0.81;8;12;2;2;0;1;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;5;0.0509090909090909;0.25;356;0.0224719101123595;809.0909090909091;0.5714285714285714;9.090909090909092;-4;-0.12;-1;-1;-4;0.0159090909090909;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;St. Pauli;9;6;17;176;173;Augsburgo;1;3;6;2;1;1;0.44;0.56;419;0.77;16;18;1;3;0;0;3;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1;0.28;0.0625;323;0.0495356037151702;734.0909090909091;0.5;6.818181818181818;4;-0.12;2;-2;-2;0.0143198090692124;0.1666666666666666;0.44;3.0;1;0;1;0;1;0;0;1;0.1666666666666666;1.0;0.0023866348448687;6.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;St. Pauli;9;17;2;176;169;FC Union Berlin;0;3;16;14;5;2;0.44;0.56;389;0.77;6;15;0;3;0;0;5;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;7;0.04;0.0;300;0.02;681.8181818181819;0.3125;11.363636363636363;2;-0.12;-2;-3;-9;0.0411311053984575;0.1875;0.1466666666666666;1.6666666666666667;1;2;3;1;0;0;0;1;0.1875;0.6;0.0077120822622107;5.333333333333333;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;St. Pauli;9;6;3;176;142;Heidenheim;2;1;7;8;4;1;0.4;0.6;379;0.74;18;11;2;1;0;0;4;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;4;0.075;0.1111111111111111;280;0.0642857142857142;700.0;0.5714285714285714;10.0;-1;-0.1999999999999999;0;1;7;0.0184696569920844;0.2857142857142857;0.2;2.0;1;1;2;1;0;0;1;0;0.2857142857142857;0.5;0.0052770448548812;3.5;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;St. Pauli;9;6;6;176;178;Bochum;4;1;12;13;1;5;0.49;0.51;367;0.71;15;7;3;1;1;0;7;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;6;0.0392307692307692;0.2666666666666666;261;0.057471264367816;532.6530612244898;0.5833333333333334;14.285714285714286;-1;-0.02;1;3;8;0.0326975476839237;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;St. Pauli;9;17;30;176;87;Frankfurt;0;3;18;14;4;6;0.42;0.58;433;0.81;8;7;0;3;0;0;3;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3;0.0414285714285714;0.0;351;0.0227920227920227;835.7142857142858;0.1666666666666666;7.142857142857143;4;-0.1599999999999999;0;-3;1;0.0415704387990762;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;St. Pauli;9;6;17;176;18;Stuttgart;2;2;11;25;5;5;0.27;0.73;261;0.71;11;10;2;2;0;0;1;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;9;0.0292;0.1818181818181818;185;0.0594594594594594;685.1851851851851;0.0909090909090909;3.7037037037037033;-14;-0.4599999999999999;-8;0;1;0.0421455938697318;0.0909090909090909;0.27;1.0;1;0;1;1;0;0;1;0;0.0909090909090909;0.2;0.003831417624521;11.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;St. Pauli;9;6;2;176;171;Werder Bremen;2;3;15;8;4;4;0.57;0.43;586;0.83;10;9;2;3;0;0;4;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;5;0.05375;0.2;486;0.0205761316872428;852.6315789473684;0.2666666666666666;7.017543859649123;7;0.1399999999999999;-1;-1;1;0.0255972696245733;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;St. Pauli;9;6;2;176;6;Leverkusen;3;1;12;6;4;2;0.37;0.63;385;0.8;10;8;3;1;0;0;4;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;7;0.105;0.3;308;0.0324675324675324;832.4324324324324;0.3333333333333333;10.81081081081081;6;-0.26;-3;2;2;0.0311688311688311;0.0833333333333333;0.37;4.0;0;1;1;0;0;1;1;0;0.0833333333333333;0.25;0.0025974025974025;12.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
