Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Jan Oblak-Atlético Madrid;Marcos Llorente-Atlético Madrid;José María Giménez-Atlético Madrid;Robin Le Normand-Atlético Madrid;Javi Galán-Atlético Madrid;Giuliano Simeone-Atlético Madrid;Pablo Barrios Rivas-Atlético Madrid;Koke Resurrección-Atlético Madrid;Conor Gallagher-Atlético Madrid;Julián Álvarez-Atlético Madrid;Alexander Sørloth-Atlético Madrid;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Nahuel Molina-Atlético Madrid;Clément Lenglet-Atlético Madrid;César Azpilicueta-Atlético Madrid;Antoine Griezmann-Atlético Madrid;Juan Musso-Atlético Madrid;Reinildo Mandava-Atlético Madrid;Rodrigo De Paul-Atlético Madrid;Samuel Lino-Atlético Madrid;Axel Witsel-Atlético Madrid;Ángel Correa-Atlético Madrid;Rodrigo Riquelme Reche-Atlético Madrid;Ilias Kostis-Atlético Madrid;Javi Serrano-Atlético Madrid;Horațiu Moldovan-Atlético Madrid;Arthur Vermeeren-Atlético Madrid;João Félix-Atlético Madrid;Thomas Lemar-Atlético Madrid;Stefan Savić-Atlético Madrid;Gabriel Paulista-Atlético Madrid;Mario Hermoso Canseco-Atlético Madrid;Álvaro Morata-Atlético Madrid;Saúl Ñíguez-Atlético Madrid;Memphis Depay-Atlético Madrid;Çağlar Söyüncü-Atlético Madrid;Yannick Carrasco-Atlético Madrid;Ivo Grbić-Atlético Madrid;Sergio Reguilón-Atlético Madrid;Matt Doherty-Atlético Madrid;Marco Moreno-Atlético Madrid;Geoffrey Kondogbia-Atlético Madrid;Carlos Martín Domínguez-Atlético Madrid
2025-03-09;Atlético Madrid;1;1;7;27;48;Getafe;3;6;4;11;2;3;0.62;0.38;511;0.84;14;10;2;6;1;0;4;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;4;0.0345454545454545;0.2142857142857142;429;0.0326340326340326;691.9354838709678;1.0;6.451612903225807;-7;0.24;0;-3;4;0.0078277886497064;0.25;0.62;4.0;0;1;1;0;0;1;1;0;0.25;0.5;0.0019569471624266;4.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-04;Atlético Madrid;0;1;1;27;12;Real Madrid;0;1;6;13;2;7;0.48;0.52;602;0.89;13;10;0;1;0;0;3;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;6;0.04;0.0;536;0.0242537313432835;1116.6666666666667;0.5;6.25;-7;-0.04;-3;-1;3;0.0099667774086378;0.1666666666666666;0.48;3.0;1;0;1;0;0;1;1;0;0.1666666666666666;0.5;0.0016611295681063;6.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Atlético Madrid;1;1;3;27;38;Athletic;2;3;12;15;4;3;0.51;0.49;487;0.83;7;8;2;3;0;0;6;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;2;0.0326666666666666;0.2857142857142857;404;0.0173267326732673;792.156862745098;0.5;11.76470588235294;-3;0.02;4;-1;-1;0.0246406570841889;0.0833333333333333;0.51;6.0;0;1;1;1;0;0;0;1;0.0833333333333333;0.25;0.002053388090349;12.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-25;Atlético Madrid;19;1;3;27;10;Barcelona;4;0;10;16;7;9;0.32;0.68;325;0.76;10;12;4;0;0;0;3;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;8;0.0425;0.4;247;0.0404858299595141;771.875;0.3;9.375;-6;-0.36;-5;4;-2;0.0307692307692307;0.4;0.08;0.75;2;2;4;0;1;0;1;0;0.4;0.5714285714285714;0.0123076923076923;2.5;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Atlético Madrid;1;1;17;27;52;Valencia C. F.;3;1;11;18;3;2;0.51;0.49;578;0.87;16;18;3;1;0;0;0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;7;0.0272222222222222;0.1875;503;0.0318091451292246;986.2745098039215;0.0;0.0;-7;0.02;-7;2;-2;0.0190311418685121;0.2727272727272727;0.17;0.0;2;1;3;1;0;0;1;0;0.2727272727272727;1.0;0.0051903114186851;3.6666666666666665;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Atlético Madrid;1;1;6;27;44;Celta de Vigo;4;5;9;11;3;4;0.32;0.68;314;0.78;8;18;3;5;1;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;7;0.0618181818181818;0.5;245;0.0326530612244898;765.625;0.2222222222222222;6.25;-2;-0.36;-5;-1;-10;0.0286624203821656;0.1111111111111111;0.32;2.0;0;1;1;0;1;0;0;1;0.1111111111111111;0.3333333333333333;0.0031847133757961;9.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Atlético Madrid;1;1;3;27;12;Real Madrid;3;1;10;23;1;9;0.39;0.61;441;0.86;13;14;3;1;0;0;1;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;6;0.0265217391304347;0.2307692307692307;379;0.0343007915567282;971.7948717948716;0.1;2.564102564102564;-13;-0.2199999999999999;-5;2;-1;0.0226757369614512;0.1;0.39;1.0;1;0;1;0;1;0;1;0;0.1;1.0;0.0022675736961451;10.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-04;Atlético Madrid;19;1;1;27;48;Getafe;1;2;14;10;8;4;0.49;0.51;461;0.83;12;9;1;2;0;0;6;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;3;0.051;0.0833333333333333;383;0.031331592689295;781.6326530612245;0.4285714285714285;12.244897959183673;4;-0.02;3;-1;3;0.0303687635574837;0.3571428571428571;0.098;1.2;3;2;5;1;0;0;0;1;0.3571428571428571;0.625;0.0108459869848156;2.8;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Atlético Madrid;1;1;4;27;40;R.C.D. Mallorca;2;3;17;10;5;1;0.53;0.47;461;0.85;9;14;2;3;0;0;10;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;4;0.047;0.2222222222222222;392;0.0229591836734693;739.622641509434;0.5882352941176471;18.867924528301884;7;0.06;6;-1;-5;0.0368763557483731;0.1176470588235294;0.265;5.0;1;1;2;1;0;0;0;1;0.1176470588235294;0.4;0.0043383947939262;8.5;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;Atlético Madrid;0;1;1;27;34;RB Salzburg;0;2;12;10;8;3;0.51;0.49;554;0.83;10;10;0;2;0;0;5;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;0.049;0.0;460;0.0217391304347826;901.9607843137256;0.4166666666666667;9.803921568627452;2;0.02;1;-2;0;0.0216606498194945;0.3333333333333333;0.1275;1.25;3;1;4;1;0;0;1;0;0.3333333333333333;0.5;0.0072202166064981;3.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
