Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Sergio Herrera Pirón-Osasuna;Jesús Areso-Osasuna;Enzo Boyomo-Osasuna;Alejandro Catena Marugán-Osasuna;Jorge Herrando-Osasuna;Abel Bretones-Osasuna;Jon Moncayola-Osasuna;Lucas Torró-Osasuna;Aimar Oroz-Osasuna;Ante Budimir-Osasuna;Rubén García Santos-Osasuna;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Aitor Fernández Abarisketa-Osasuna;Juan Cruz Álvaro Armada-Osasuna;Pablo Ibáñez Lumbreras-Osasuna;Iker Muñoz-Osasuna;José Arnaiz-Osasuna;Raúl García de Haro-Osasuna;Bryan Zaragoza-Osasuna;Rubén Peña Jiménez-Osasuna;Moi Gómez-Osasuna;Kike Barja-Osasuna;Nacho Vidal Miralles-Osasuna;Unai García-Osasuna;Iker Benito-Osasuna;Johan Mojica-Osasuna;David García-Osasuna;Darko Brašanac-Osasuna;Ezequiel Ávila-Osasuna;Aridane Hernández-Osasuna;Manuel Sánchez de la Peña-Osasuna;Abde Ezzalzouli-Osasuna;Diego Moreno Garbayo-Osasuna;Kike García-Osasuna;Roberto Torres Morales-Osasuna
2025-02-21;Osasuna;1;4;6;41;44;Celta de Vigo;0;1;18;12;1;5;0.55;0.45;532;0.84;13;11;0;1;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;5;0.0375;0.0;447;0.029082774049217;812.7272727272726;0.2222222222222222;7.272727272727272;6;0.1;-1;-1;2;0.0338345864661654;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Osasuna;1;7;1;41;12;Real Madrid;3;2;11;17;4;6;0.45;0.55;379;0.84;16;7;3;1;0;1;6;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;2;0.0323529411764705;0.1875;318;0.050314465408805;706.6666666666666;0.5454545454545454;13.333333333333332;-6;-0.1;4;1;9;0.0290237467018469;0.0909090909090909;0.45;6.0;0;1;1;0;1;0;0;1;0.0909090909090909;0.25;0.0026385224274406;11.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-10;Osasuna;1;7;3;41;40;R.C.D. Mallorca;4;1;19;10;4;2;0.55;0.45;397;0.81;11;7;4;1;0;0;11;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;7;0.045;0.3636363636363636;322;0.0341614906832298;585.4545454545454;0.5789473684210527;20.0;9;0.1;4;3;4;0.0478589420654911;0.0526315789473684;0.55;11.0;0;1;1;0;1;0;1;0;0.0526315789473684;0.25;0.0025188916876574;19.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-06;Osasuna;19;3;7;41;46;Real Sociedad;5;3;9;11;3;4;0.43;0.57;300;0.7;12;19;4;3;1;0;4;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;9;0.0518181818181818;0.4166666666666667;210;0.0571428571428571;488.37209302325584;0.4444444444444444;9.30232558139535;-2;-0.1399999999999999;-5;2;-7;0.03;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Osasuna;1;0;7;41;46;Real Sociedad;3;3;11;13;4;3;0.37;0.63;319;0.78;10;8;3;3;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;5;0.0484615384615384;0.3;249;0.0401606425702811;672.972972972973;0.2727272727272727;8.108108108108109;-2;-0.26;-2;0;2;0.0344827586206896;0.1818181818181818;0.185;1.5;1;1;2;1;0;0;0;1;0.1818181818181818;0.5;0.006269592476489;5.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-24;Osasuna;1;7;3;41;50;U. D. Las Palmas;8;6;16;16;4;7;0.48;0.52;375;0.76;17;14;8;5;0;1;2;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;4;0.0325;0.4705882352941176;285;0.0596491228070175;593.75;0.125;4.166666666666667;0;-0.04;-2;2;3;0.0426666666666666;0.0625;0.48;2.0;0;1;1;0;1;0;1;0;0.0625;0.25;0.0026666666666666;16.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Osasuna;1;3;1;41;42;Rayo Vallecano;3;2;12;8;3;3;0.53;0.47;414;0.81;9;13;3;2;0;0;6;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;3;0.05875;0.3333333333333333;335;0.026865671641791;632.0754716981131;0.5;11.320754716981131;4;0.06;3;1;-4;0.0289855072463768;0.0833333333333333;0.53;6.0;0;1;1;0;1;0;0;1;0.0833333333333333;0.3333333333333333;0.002415458937198;12.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-16;Osasuna;19;3;3;41;38;Athletic;3;1;9;23;5;8;0.4;0.6;335;0.76;13;13;3;1;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;12;0.0260869565217391;0.2307692307692307;255;0.0509803921568627;637.5;0.3333333333333333;7.5;-14;-0.1999999999999999;-9;2;0;0.026865671641791;0.3333333333333333;0.1333333333333333;1.0;2;1;3;1;0;0;1;0;0.3333333333333333;0.6;0.008955223880597;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-12;Osasuna;1;4;1;41;27;Atlético Madrid;0;1;6;9;1;5;0.49;0.51;533;0.85;14;8;0;1;0;0;0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;4;0.0566666666666666;0.0;453;0.0309050772626931;924.4897959183672;0.0;0.0;-3;-0.02;-4;-1;6;0.0112570356472795;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-04;Osasuna;19;3;3;41;134;Tenerife;3;4;12;8;7;5;0.52;0.48;460;0.82;11;10;3;4;0;0;9;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.06;0.2727272727272727;377;0.0291777188328912;725.0;0.75;17.307692307692307;4;0.04;6;-1;1;0.0260869565217391;0.1666666666666666;0.26;4.5;2;0;2;1;0;0;1;0;0.1666666666666666;0.2857142857142857;0.0043478260869565;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
