Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Nicola Leali-Genoa;Stefano Sabelli-Genoa;Koni de Winter-Genoa;Johan Vásquez-Genoa;Alessandro Zanoli-Genoa;Patrizio Masini-Genoa;Milan Badelj-Genoa;Aarón Martín-Genoa;Fabio Miretti-Genoa;Vítor Oliveira-Genoa;Andrea Pinamonti-Genoa;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Morten Frendrup-Genoa;Ruslan Malinovskyi-Genoa;Morten Thorsby-Genoa;Alan Matturro-Genoa;Jean Onana-Genoa;Brooke Norton-Cuffy-Genoa;Jeff Ekhator-Genoa;Maxwel Cornet-Genoa;Caleb Ekuban-Genoa;Mattia Bani-Genoa;Junior Messias-Genoa;Lior Kasa-Genoa;Alessandro Vogliacco-Genoa;Alessandro Marcandalli-Genoa;Filippo Melegoni-Genoa;Pierluigi Gollini-Genoa;Emil Bohinen-Genoa;Honest Ahanor-Genoa;Giorgio Cittadini-Genoa;Albert Guðmundsson-Genoa;Josep Martínez-Genoa;Djed Spence-Genoa;Kevin Strootman-Genoa;Mateo Retegui-Genoa;Ridgeciano Haps-Genoa;Radu Drăgușin-Genoa;Silvan Hefti-Genoa;Filip Jagiełło-Genoa;Pablo Galdames Millán-Genoa;Berkan Kutlu-Genoa;George Pușcaș-Genoa;Davide Biraschi-Genoa;Massimo Coda-Genoa;Eddy Salcedo-Genoa;Mattia Aramu-Genoa;Stefano Sturaro-Genoa;Domenico Criscito-Genoa;Stefan Ilsanker-Genoa;Brayan Boci-Genoa;Lennart Czyborra-Genoa;Güven Yalçın-Genoa;Adrian Šemper-Genoa;Manolo Portanova-Genoa;Marko Pajač-Genoa;Kelvin Yeboah-Genoa;Benjamin Siegrist-Genoa;Sebastian Otoa-Genoa
2025-02-22;Genoa;4;3;30;83;7;Inter;2;0;11;18;2;5;0.37;0.63;349;0.76;14;7;2;0;0;0;7;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;6;0.035;0.1428571428571428;265;0.0528301886792452;716.2162162162163;0.6363636363636364;18.91891891891892;-7;-0.26;1;2;7;0.0315186246418338;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-17;Genoa;4;1;2;83;81;Venezia;1;1;14;7;5;3;0.51;0.49;355;0.73;14;15;1;1;0;0;4;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;5;0.0699999999999999;0.0714285714285714;259;0.054054054054054;507.84313725490193;0.2857142857142857;7.84313725490196;7;0.02;-1;0;-1;0.0394366197183098;0.1428571428571428;0.255;2.0;0;2;2;1;0;0;0;1;0.1428571428571428;0.4;0.0056338028169014;7.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Genoa;4;1;17;83;73;Torino;2;2;6;10;2;3;0.43;0.57;383;0.77;10;11;2;2;0;0;2;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;4;0.0569999999999999;0.2;295;0.0338983050847457;686.046511627907;0.3333333333333333;4.651162790697675;-4;-0.1399999999999999;-2;0;-1;0.0156657963446475;0.1666666666666666;0.43;2.0;0;1;1;0;1;0;1;0;0.1666666666666666;0.5;0.0026109660574412;6.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Genoa;4;3;3;83;70;Fiorentina;1;3;17;7;3;6;0.6;0.4;422;0.78;14;17;1;3;0;0;8;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1;0.0571428571428571;0.0714285714285714;329;0.0425531914893617;548.3333333333334;0.4705882352941176;13.333333333333334;10;0.1999999999999999;7;-2;-3;0.0402843601895734;0.0588235294117647;0.6;8.0;0;1;1;0;0;1;1;0;0.0588235294117647;0.3333333333333333;0.0023696682464454;17.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-27;Genoa;4;3;17;83;80;Monza;0;4;18;5;6;1;0.49;0.51;304;0.74;13;19;0;4;0;0;9;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;6;0.102;0.0;225;0.0577777777777777;459.18367346938777;0.5;18.367346938775512;13;-0.02;3;-4;-6;0.0592105263157894;0.1111111111111111;0.245;4.5;0;2;2;1;0;0;0;1;0.1111111111111111;0.3333333333333333;0.006578947368421;9.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-17;Genoa;4;3;2;83;74;Roma;1;1;7;16;3;7;0.47;0.53;460;0.83;12;12;1;1;0;0;2;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;3;0.033125;0.0833333333333333;382;0.031413612565445;812.7659574468086;0.2857142857142857;4.25531914893617;-9;-0.06;-1;0;0;0.0152173913043478;0.1428571428571428;0.47;2.0;1;0;1;0;0;1;1;0;0.1428571428571428;0.3333333333333333;0.0021739130434782;7.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-12;Genoa;4;7;3;83;76;Parma;2;3;14;9;4;3;0.62;0.38;547;0.86;10;10;2;3;0;0;6;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;9;0.0422222222222222;0.2;470;0.0212765957446808;758.0645161290323;0.4285714285714285;9.67741935483871;5;0.24;-3;-1;0;0.0255941499085923;0.0714285714285714;0.62;6.0;0;1;1;1;0;0;0;1;0.0714285714285714;0.25;0.0018281535648994;14.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-05;Genoa;4;7;0;83;82;Lecce;1;0;4;10;1;3;0.37;0.63;315;0.74;15;11;1;0;0;0;4;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;9;0.063;0.0666666666666666;233;0.0643776824034334;629.7297297297297;1.0;10.81081081081081;-6;-0.26;-5;1;4;0.0126984126984126;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-28;Genoa;4;3;1;83;75;Empoli;2;1;14;12;5;8;0.4;0.6;316;0.72;13;16;2;1;0;0;4;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;7;0.0499999999999999;0.1538461538461538;228;0.0570175438596491;570.0;0.2857142857142857;10.0;2;-0.1999999999999999;-3;1;-3;0.0443037974683544;0.1428571428571428;0.2;2.0;0;2;2;1;0;0;1;0;0.1428571428571428;0.4;0.0063291139240506;7.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Genoa;4;3;0;83;69;Napoli;2;1;11;12;3;2;0.38;0.62;369;0.8;8;8;2;1;0;0;5;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;6;0.0516666666666666;0.25;295;0.0271186440677966;776.3157894736842;0.4545454545454545;13.157894736842104;-1;-0.24;-1;1;0;0.029810298102981;0.0909090909090909;0.38;5.0;0;1;1;0;0;1;0;1;0.0909090909090909;0.3333333333333333;0.002710027100271;11.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
