Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Alphonse Aréola-West Ham;Jean-Clair Todibo-West Ham;Max Kilman-West Ham;Aaron Cresswell-West Ham;Aaron Wan-Bissaka-West Ham;Tomáš Souček-West Ham;Lucas Paquetá-West Ham;Emerson Palmieri-West Ham;Jarrod Bowen-West Ham;Mohammed Kudus-West Ham;Niclas Füllkrug-West Ham;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Konstantinos Mavropanos-West Ham;James Ward-Prowse-West Ham;Vladimír Coufal-West Ham;Carlos Soler-West Ham;Oliver Scarles-West Ham;Edson Álvarez-West Ham;Luis Guilherme-West Ham;Evan Ferguson-West Ham;Andy Irving-West Ham;Łukasz Fabiański-West Ham;Guido Rodríguez-West Ham;Crysencio Summerville-West Ham;Danny Ings-West Ham;Michail Antonio-West Ham;Freddie Potts-West Ham;Kurt Zouma-West Ham;Angelo Ogbonna-West Ham;Nayef Aguerd-West Ham;Kalvin Phillips-West Ham;Ben Johnson-West Ham;Maxwel Cornet-West Ham;Pablo Fornals-West Ham;Saïd Benrahma-West Ham;Divin Mubama-West Ham;Thilo Kehrer-West Ham;Levi Laing-West Ham;Flynn Downes-West Ham;Declan Rice-West Ham;Manuel Lanzini-West Ham;Gianluca Scamacca-West Ham
2024-12-21;West Ham;3;7;3;61;54;Brighton;2;2;11;12;4;6;0.45;0.55;372;0.76;14;20;2;2;0;0;8;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0458333333333333;0.1428571428571428;283;0.0494699646643109;628.8888888888889;0.7272727272727273;17.77777777777778;-1;-0.1;4;0;-6;0.0295698924731182;0.0909090909090909;0.45;8.0;0;1;1;0;1;0;0;1;0.0909090909090909;0.25;0.0026881720430107;11.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-16;West Ham;3;7;3;61;59;Bournemouth;2;0;16;29;3;9;0.48;0.52;420;0.72;11;6;2;0;0;0;6;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;12;0.0179310344827586;0.1818181818181818;302;0.0364238410596026;629.1666666666667;0.375;12.5;-13;-0.04;-6;2;5;0.0380952380952381;0.0625;0.48;6.0;0;1;1;0;1;0;1;0;0.0625;0.3333333333333333;0.0023809523809523;16.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-09;West Ham;3;3;17;61;67;Wolves;5;4;19;19;4;5;0.54;0.46;433;0.8;12;17;5;4;0;0;11;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0;0.0242105263157894;0.4166666666666667;346;0.0346820809248554;640.7407407407406;0.5789473684210527;20.37037037037037;0;0.08;11;1;-5;0.0438799076212471;0.1052631578947368;0.27;5.5;0;2;2;1;0;0;0;1;0.1052631578947368;0.5;0.0046189376443418;9.5;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-03;West Ham;3;3;3;61;63;Leicester City;2;2;31;8;10;6;0.62;0.38;591;0.85;7;9;2;2;0;0;9;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;3;0.0475;0.2857142857142857;502;0.0139442231075697;809.6774193548387;0.2903225806451613;14.516129032258064;23;0.24;6;0;-2;0.0524534686971235;0.032258064516129;0.62;9.0;0;1;1;0;0;1;1;0;0.032258064516129;0.1;0.0016920473773265;31.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-30;West Ham;3;3;0;61;9;Arsenal;4;1;12;16;5;7;0.4;0.6;323;0.78;10;13;4;1;0;0;2;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;10;0.0375;0.4;252;0.0396825396825396;630.0;0.1666666666666666;5.0;-4;-0.1999999999999999;-8;3;-3;0.0371517027863777;0.1666666666666666;0.2;1.0;2;0;2;0;0;1;0;1;0.1666666666666666;0.4;0.0061919504643962;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-25;West Ham;3;3;0;61;60;Newcastle;0;1;15;18;6;2;0.47;0.53;475;0.82;8;11;0;1;0;0;3;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;8;0.0294444444444444;0.0;390;0.0205128205128205;829.7872340425532;0.2;6.382978723404256;-3;-0.06;-5;-1;-3;0.031578947368421;0.1333333333333333;0.235;1.5;1;1;2;1;0;0;1;0;0.1333333333333333;0.3333333333333333;0.0042105263157894;7.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-09;West Ham;3;7;3;61;64;Everton;1;2;11;18;6;4;0.49;0.51;447;0.78;10;9;1;2;0;0;7;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;6;0.0283333333333333;0.1;349;0.0286532951289398;712.2448979591837;0.6363636363636364;14.285714285714286;-7;-0.02;1;-1;1;0.0246085011185682;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-02;West Ham;3;17;3;61;55;Nottingham Forest;3;1;4;19;2;6;0.46;0.54;392;0.78;9;7;2;1;1;0;6;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;10;0.0284210526315789;0.3333333333333333;306;0.0294117647058823;665.2173913043478;1.5;13.043478260869565;-15;-0.08;-4;2;2;0.010204081632653;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-27;West Ham;3;3;3;61;62;Manchester United;5;1;12;18;3;5;0.42;0.58;393;0.8;6;7;5;1;0;0;6;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;5;0.0322222222222222;0.8333333333333334;314;0.019108280254777;747.6190476190476;0.5;14.285714285714286;-6;-0.1599999999999999;1;4;-1;0.0305343511450381;0.1666666666666666;0.21;3.0;0;2;2;1;0;0;0;1;0.1666666666666666;0.6666666666666666;0.005089058524173;6.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-19;West Ham;3;7;0;61;56;Tottenham;4;1;11;22;4;7;0.43;0.57;366;0.8;15;10;3;1;1;0;5;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;13;0.0259090909090909;0.2666666666666666;293;0.0511945392491467;681.3953488372093;0.4545454545454545;11.627906976744184;-11;-0.1399999999999999;-8;3;5;0.0300546448087431;0.0909090909090909;0.43;5.0;1;0;1;0;0;1;1;0;0.0909090909090909;0.25;0.0027322404371584;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
